Report_Name,"Title Master Report"
Report_ID,"TR"
Release,"5"
Institution_Name,"University of Mary Washington"
Institution_ID,"sagepub:115139"
Metric_Types,""
Report_Filters,""
Report_Attributes,"Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP"
Exceptions,""
Reporting_Period,"Begin_Date=2020-07-01; End_Date=2021-06-30"
Created,"2022-01-12T19:15:28Z"
Created_By,"SAGE Publishing SecureCenter"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021"
"Encyclopedia of Global Warming and Climate Change","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963893","","978-1-41-296389-3","","9781-1412","","Book","Chapter","2008","Controlled","Regular","Total_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Encyclopedia of Global Warming and Climate Change","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412963893","","978-1-41-296389-3","","9781-1412","","Book","Chapter","2008","Controlled","Regular","Unique_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Encyclopedia of Governance","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952613","","978-1-41-295261-3","","9781-1412","","Book","","2007","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","1","0","0","0","0","0"
"Encyclopedia of Governance","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952613","","978-1-41-295261-3","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","1","0","0","0","0","0"
"Encyclopedia of Governance","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952613","","978-1-41-295261-3","","9781-1412","","Book","Chapter","2007","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","1","0","0","0","0","0"
"Encyclopedia of Governance","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952613","","978-1-41-295261-3","","9781-1412","","Book","Chapter","2007","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","1","0","0","0","0","0"
"Encyclopedia of Identity","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412979306","","978-1-41-297930-6","","9781-1412","","Book","","2010","Controlled","Regular","Unique_Title_Investigations","3","0","0","1","0","0","0","0","1","1","0","0","0"
"Encyclopedia of Identity","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412979306","","978-1-41-297930-6","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","3","0","0","1","0","0","0","0","1","1","0","0","0"
"Encyclopedia of Identity","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412979306","","978-1-41-297930-6","","9781-1412","","Book","Chapter","2010","Controlled","Regular","Total_Item_Investigations","3","0","0","1","0","0","0","0","1","1","0","0","0"
"Encyclopedia of Identity","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412979306","","978-1-41-297930-6","","9781-1412","","Book","Chapter","2010","Controlled","Regular","Unique_Item_Investigations","3","0","0","1","0","0","0","0","1","1","0","0","0"
"Encyclopedia of Language Development","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346441","239623","978-1-48-334644-1","","9781-1452","","Book","","2014","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Language Development","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346441","239623","978-1-48-334644-1","","9781-1452","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Language Development","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346441","239623","978-1-48-334644-1","","9781-1452","","Book","Chapter","2014","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Language Development","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781483346441","239623","978-1-48-334644-1","","9781-1452","","Book","Chapter","2014","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Encyclopedia of Measurement and Statistics","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952644","","978-1-41-295264-4","","9781-1412","","Book","","2011","Controlled","Regular","Unique_Title_Investigations","3","0","0","0","2","0","0","0","0","0","0","1","0"
"Encyclopedia of Measurement and Statistics","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952644","","978-1-41-295264-4","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","3","0","0","0","2","0","0","0","0","0","0","1","0"
"Encyclopedia of Measurement and Statistics","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952644","","978-1-41-295264-4","","9781-1412","","Book","Chapter","2011","Controlled","Regular","Total_Item_Investigations","3","0","0","0","2","0","0","0","0","0","0","1","0"
"Encyclopedia of Measurement and Statistics","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412952644","","978-1-41-295264-4","","9781-1412","","Book","Chapter","2011","Controlled","Regular","Unique_Item_Investigations","3","0","0","0","2","0","0","0","0","0","0","1","0"
"Encyclopedia of Political Communication","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412953993","","978-1-41-295399-3","","9781-1412","","Book","","2008","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Encyclopedia of Political Communication","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412953993","","978-1-41-295399-3","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Encyclopedia of Political Communication","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412953993","","978-1-41-295399-3","","9781-1412","","Book","Chapter","2008","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Encyclopedia of Political Communication","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412953993","","978-1-41-295399-3","","9781-1412","","Book","Chapter","2008","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Encyclopedia of Research Design","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412961288","","978-1-41-296128-8","","9781-1412","","Book","","2012","Controlled","Regular","Unique_Title_Investigations","15","0","0","3","1","3","0","0","2","3","2","1","0"
"Encyclopedia of Research Design","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412961288","","978-1-41-296128-8","","9781-1412","","Book","Chapter","0001","Controlled","Regular","No_License","16","0","0","4","1","3","0","0","2","3","2","1","0"
"Encyclopedia of Research Design","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412961288","","978-1-41-296128-8","","9781-1412","","Book","Chapter","2012","Controlled","Regular","Total_Item_Investigations","16","0","0","4","1","3","0","0","2","3","2","1","0"
"Encyclopedia of Research Design","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412961288","","978-1-41-296128-8","","9781-1412","","Book","Chapter","2012","Controlled","Regular","Unique_Item_Investigations","15","0","0","3","1","3","0","0","2","3","2","1","0"
"Encyclopedia of Social Psychology","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781412956253","","978-1-41-295625-3","","9781-1412","","Book","","2007","Controlled","Regular","Unique_Title_Investigations","3","0","0","1","0","0","0","0","1","1","0","0","0"
