title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
A Practitioner's Guide to Freshwater Biodiversity Conservation,ProQuest,Island Press,ProQuest Ebook Central,978-1-59726-044-2,,,2005,Controlled,Regular,Unique Title Requests,1
Resilience Thinking : Sustaining Ecosystems and People in a Changing World,ProQuest,Island Press,ProQuest Ebook Central,978-1-59726-093-0,,,2006,Controlled,Regular,Unique Title Requests,206
Resilience Thinking,ProQuest,Island Press,ProQuest Ebook Central,978-1-59726-093-0,,,2006,Controlled,Regular,Unique Title Requests,4
Urban Green : Innovative Parks for Resurgent Cities,ProQuest,Island Press,ProQuest Ebook Central,978-1-59726-679-6,,,2010,Controlled,Regular,Unique Title Requests,1
Augmented Reality : An Emerging Technologies Guide to AR,ProQuest,Elsevier Science & Technology Books,ProQuest Ebook Central,978-1-59749-733-6,,,2012,Controlled,Regular,Unique Title Requests,1
Maximizing Effectiveness of Reading Comprehension Instruction in Diverse Classrooms,ProQuest,Brookes Publishing,ProQuest Ebook Central,978-1-59857-306-0,,,2014,Controlled,Regular,Unique Title Requests,1
"Teaching Students with Dyslexia, Dysgraphia, OWL LD, and Dyscalculia",ProQuest,Brookes Publishing,ProQuest Ebook Central,978-1-59857-894-2,,,2015,Controlled,Regular,Unique Title Requests,1
Mastering Digital Photography: [The Serious Photographer's Guide to High-quality Digital Photography],EBSCO,Course Technology,EBSCOhost,978-1-59863-017-6,,,2005,Controlled,Regular,Unique Title Requests,1
"Archaeologies of Placemaking : Monuments, Memories, and Engagement in Native North America",ProQuest,Taylor & Francis Group,ProQuest Ebook Central,978-1-59874-155-1,,,2008,Controlled,Regular,Unique Title Requests,2
Ancient Perspectives on Egypt,ProQuest,Taylor & Francis Group,ProQuest Ebook Central,978-1-59874-204-6,,,2003,Controlled,Regular,Unique Title Requests,2
Black Feminist Archaeology,ProQuest,Taylor & Francis Group,ProQuest Ebook Central,978-1-59874-378-4,,,2011,Controlled,Regular,Unique Title Requests,7
Being and Becoming Indigenous Archaeologists,ProQuest,Taylor & Francis Group,ProQuest Ebook Central,978-1-59874-497-2,,,2010,Controlled,Regular,Unique Title Requests,3
African Americans in the West,ProQuest,"ABC-CLIO, LLC",ProQuest Ebook Central,978-1-59884-002-5,,,2009,Controlled,Regular,Unique Title Requests,4
"Encyclopedia of the U.S. Government and the Environment: History, Policy, and Politics",EBSCO,ABC-CLIO Interactive,EBSCOhost,978-1-59884-237-1,,,1680,Controlled,Regular,Unique Title Requests,2
Movies in American History: An Encyclopedia,EBSCO,ABC-CLIO Interactive,EBSCOhost,978-1-59884-296-8,,,1680,Controlled,Regular,Unique Title Requests,1
Contemporary World Issues: Autism Spectrum Disorders: A Reference Handbook,EBSCO,ABC-CLIO Interactive,EBSCOhost,978-1-59884-334-7,,,1680,Controlled,Regular,Unique Title Requests,1
Modern Homelessness: A Reference Handbook (Contemporary world issues),EBSCO,ABC-CLIO Interactive,EBSCOhost,978-1-59884-536-5,,,2011,Controlled,Regular,Unique Title Requests,1
E-Learning Methodologies and Computer Applications in Archaeology,EBSCO,IGI Global,EBSCOhost,978-1-59904-759-1,,,2008,Controlled,Regular,Unique Title Requests,1
Social Information Technology: Connecting Society and Cultural Issues,EBSCO,IGI Global,EBSCOhost,978-1-59904-774-4,,,2008,Controlled,Regular,Unique Title Requests,1
Ultimate Small Business Marketing Guide : 1500 Great Marketing Tricks That Will Drive Your Business Through the Roof,ProQuest,Entrepreneur Press,ProQuest Ebook Central,978-1-59918-037-3,,,2007,Controlled,Regular,Unique Title Requests,1
Kindness and Joy,ProQuest,Templeton Press,ProQuest Ebook Central,978-1-59947-106-8,,,2006,Controlled,Regular,Unique Title Requests,1
"The Diabetes Cooking for Everyone : 250 All-Natural, Low-Glycemic Recipes to Nourish and Rejuvenate",ProQuest,Da Capo Press,ProQuest Ebook Central,978-1-60094-063-7,,,2008,Controlled,Regular,Unique Title Requests,2
The Secret Life of a Black Aspie: A Memoir,EBSCO,University of Alaska Press,EBSCOhost,978-1-60223-321-8,,,2017,Controlled,Regular,Unique Title Requests,28
Religion in Tudor England,ProQuest,Baylor University Press,ProQuest Ebook Central,978-1-60258-297-2,,,2016,Controlled,Regular,Unique Title Requests,1
Louisiana Coast : Guide to an American Wetland,ProQuest,Texas A&M University Press,ProQuest Ebook Central,978-1-60344-033-2,,,2008,Controlled,Regular,Unique Title Requests,1
My Boys and Girls Are in There,ProQuest,Texas A&M University Press,ProQuest Ebook Central,978-1-60344-761-4,,,2012,Controlled,Regular,Unique Title Requests,6
War Makes Men of Boys,ProQuest,Texas A&M University Press,ProQuest Ebook Central,978-1-60344-815-4,,,2012,Controlled,Regular,Unique Title Requests,1
Prohibition Era: Temperance in the United States (Milestones in American history),EBSCO,Chelsea House Publishers,EBSCOhost,978-1-60413-005-8,,,2008,Controlled,Regular,Unique Title Requests,2
"Sports in America, 1920-1939 (Sports in America)",EBSCO,Chelsea House Publishers,EBSCOhost,978-1-60413-449-0,,,2010,Controlled,Regular,Unique Title Requests,1
"Sports in America, 1980-1989 (Sports in America)",EBSCO,Chelsea House Publishers,EBSCOhost,978-1-60413-455-1,,,2010,Controlled,Regular,Unique Title Requests,5
